Frame,wildtype,wildtype,wildtype,15040,15040,15040,20011,20011,20011,20011,20011,20011
121,77,85,85,54,74,66,36,36,31,32,39,52
122,79,89,87,54,76,67,38,38,32,34,40,53
123,77,90,86,55,75,67,39,38,32,34,40,54
124,72,87,82,57,81,69,37,36,31,32,38,54
125,71,86,80,59,79,70,40,38,33,35,40,57
126,67,84,76,59,81,71,42,39,34,37,42,58
127,61,79,71,60,80,72,42,38,34,36,41,57
128,57,73,66,60,81,73,42,38,33,35,42,57
129,53,68,62,60,82,73,41,38,34,36,41,56
130,49,64,57,60,81,73,41,38,34,35,41,55
131,47,59,54,60,79,72,40,37,33,34,40,54
132,45,56,51,59,77,71,38,36,33,34,39,54
133,43,52,49,57,74,69,36,34,30,32,37,51
134,43,49,47,55,74,73,35,33,29,31,35,49
135,43,49,48,54,71,68,33,32,28,30,34,47
136,44,49,48,53,69,65,34,31,26,28,34,46
137,48,51,49,51,67,63,31,30,26,28,32,44
138,50,52,50,49,66,62,30,29,25,27,32,43
139,51,55,53,50,66,60,29,28,25,27,31,43
140,53,58,56,49,64,60,29,29,25,27,31,43
141,55,61,58,47,65,59,29,28,25,26,32,42
142,58,64,59,47,64,60,29,28,24,25,31,43
143,59,68,62,48,65,60,30,28,24,26,31,44
144,61,70,64,50,66,60,31,29,25,27,32,44
145,60,70,64,49,67,60,31,28,25,27,33,45
146,57,70,61,48,67,60,33,28,25,27,34,46
147,55,71,58,50,69,60,31,29,25,30,36,47
148,53,68,56,51,70,61,31,29,26,30,37,52
149,50,64,55,51,71,63,31,30,26,31,38,50
